player,tour,steal_charting
Shelby Rogers,w,28.5
Shuai Peng,w,43.5
Shuai Zhang,w,15.9
Simona Halep,w,21.5
Simona Waltert,w,35.2
Sjeng Schalken,m,9.3
Sloane Stephens,w,17.9
Sofia Kenin,w,54.4
Solana Sierra,w,11.8
Sonay Kartal,w,24.1
Soon Woo Kwon,m,40.0
Sorana Cirstea,w,22.4
Stacey Fung,w,3.4
Stan Wawrinka,m,17.6
Stefan Edberg,m,21.3
Stefanos Tsitsipas,m,31.0
Steffi Graf,w,23.0
Stephane Robert,m,40.2
Steve Darcis,m,21.7
Steve Johnson,m,30.7
Storm Hunter,w,24.1
Su Wei Hsieh,w,66.0
Sumit Nagal,m,22.3
Suzan Lamens,w,31.0
Svetlana Kuznetsova,w,15.7
Talia Gibson,w,17.3
Tallon Griekspoor,m,32.4
Tamara Zidansek,w,35.6
Taro Daniel,m,20.0
Tatiana Golovin,w,23.8
Tatjana Maria,w,69.6
Taylah Preston,w,5.9
Taylor Fritz,m,19.6
Taylor Townsend,w,36.8
Tennys Sandgren,m,20.4
Tereza Martincova,w,16.3
Tereza Valentova,w,30.4
Teymuraz Gabashvili,m,12.8
Thanasi Kokkinakis,m,21.8
Thiago Agustin Tirante,m,35.1
Thiago Monteiro,m,24.2
Thiago Seyboth Wild,m,42.7
Thiemo De Bakker,m,52.2
Thierry Champion,m,34.3
Thomas Enqvist,m,6.7
Thomas Fabbiano,m,17.3
Thomas Johansson,m,23.4
Thomas Muster,m,32.1
Thomaz Bellucci,m,29.9
Tiantsoa Sarah Rakotomanga Rajaonah,w,44.9
Tim Henman,m,26.6
Tim Mayotte,m,28.3
Tim Smyczek,m,9.3
Tim Van Rijthoven,m,27.1
Timea Babos,w,25.8
Timea Bacsinszky,w,55.1
Timofey Skatov,m,16.7
Todd Martin,m,20.8
Todd Woodbridge,m,16.6
Tomas Barrios Vera,m,49.4
Tomas Berdych,m,8.1
Tomas Machac,m,15.0
Tomas Martin Etcheverry,m,24.1
Tommy Haas,m,31.7
Tommy Paul,m,15.4
Tommy Robredo,m,26.2
Tristan Schoolkate,m,18.3
Tsvetana Pironkova,w,30.2
