tour,player,WinUFE,short_win%,long_win%,steal_droplob,BP_conv%,forces_oppUFE,adjUFE
WOMEN,Gabriela Sabatini,0.73,,,29.3,,-3.60,20.8
WOMEN,Garbine Muguruza,0.71,52.7,46.1,19.1,46.9,-1.22,19.6
WOMEN,Iga Swiatek,0.75,55.5,59.2,25.1,49.5,0.88,20.1
WOMEN,Iva Jovic,0.69,52.7,52.3,14.9,47.4,2.35,20.2
WOMEN,Jaqueline Cristian,0.70,47.6,45.0,26.1,36.8,1.24,20.3
WOMEN,Jasmine Paolini,0.74,50.3,51.7,25.3,47.8,-0.27,21.4
WOMEN,Jelena Jankovic,0.78,,,25.4,,-0.43,19.9
WOMEN,Jelena Ostapenko,0.88,47.9,61.9,18.4,47.7,-1.67,17.4
WOMEN,Jessica Pegula,0.77,51.4,51.7,24.2,43.9,0.36,18.1
WOMEN,Jil Teichmann,0.70,49.5,49.4,44.4,43.2,3.52,21.3
WOMEN,Johanna Konta,0.97,56.1,,33.1,,-11.36,17.2
WOMEN,Justine Henin,0.66,,,20.3,,0.45,20.5
WOMEN,Karolina Muchova,0.77,51.8,50.4,34.4,43.4,-1.61,19.2
WOMEN,Karolina Pliskova,0.90,49.8,46.6,19.4,44.4,-1.18,18.7
WOMEN,Katerina Siniakova,0.63,46.9,55.8,31.9,49.0,1.09,21.7
WOMEN,Katie Boulter,0.81,48.1,50.7,21.6,,-2.26,18.3
WOMEN,Katie Volynets,0.75,49.5,52.4,22.0,50.6,2.86,19.8
WOMEN,Kiki Bertens,0.65,52.2,51.9,40.3,51.3,0.78,21.4
WOMEN,Kim Clijsters,0.60,47.0,,20.7,,0.43,21.8
WOMEN,Kristina Mladenovic,0.94,36.8,,36.4,,-2.05,16.9
WOMEN,Laura Siegemund,0.78,46.5,51.5,48.5,,3.22,19.9
WOMEN,Lauren Davis,0.64,41.1,42.0,19.2,,1.42,21.1
WOMEN,Lesia Tsurenko,0.61,49.1,46.9,26.2,,4.53,20.7
WOMEN,Leylah Fernandez,1.00,50.2,44.9,21.9,41.9,-2.50,15.8
WOMEN,Lin Zhu,0.78,43.9,44.9,27.2,,-0.59,19.8
WOMEN,Linda Klimovicova,1.33,51.6,50.0,18.7,,-4.33,12.9
WOMEN,Linda Noskova,1.03,49.5,54.7,39.3,47.1,-1.85,16.7
WOMEN,Lindsay Davenport,0.88,,,15.4,,-1.10,18.6
WOMEN,Liudmila Samsonova,0.82,50.9,46.2,16.0,46.5,-0.32,17.5
WOMEN,Lucia Bronzetti,0.77,45.9,48.3,36.5,,-4.10,18.8
WOMEN,Lucie Safarova,0.85,,,16.4,,-1.18,18.8
WOMEN,Madison Brengle,0.69,48.6,51.2,30.8,,1.88,22.2
WOMEN,Madison Keys,0.78,51.7,45.7,16.0,45.1,0.05,18.4
WOMEN,Magda Linette,1.02,49.3,46.9,16.1,40.1,-0.97,14.9
WOMEN,Magdalena Frech,0.84,50.9,43.2,24.7,40.5,-1.49,19.0
WOMEN,Maria Sakkari,0.70,49.7,53.1,24.9,43.5,1.39,20.1
WOMEN,Maria Sharapova,0.67,,,15.9,,-0.59,20.3
WOMEN,Marie Bouzkova,0.87,47.4,41.3,28.4,39.6,-0.96,18.7
WOMEN,Marketa Vondrousova,0.72,52.1,50.4,49.8,49.3,2.00,20.6
